id,title,category,company,format,level,salary,link
30635,Python Developer,development,Яндекс Транспорт,офис,middle,~ от 284 000 ₽,https://hirehi.ru/development/python-developer-30635
30634,product manager,management,IDT Corporation,гибрид,senior,~ от 514 600 ₽,https://hirehi.ru/management/product-manager-30634
30633,c# developer,development,ЛАНИТ,удалённо по РФ,senior,~ от 337 100 ₽,https://hirehi.ru/development/c-developer-30633
30631,manual qa,qa,NDA,офис Минск,middle,~ от 144 800 ₽,https://hirehi.ru/qa/manual-qa-30631
30630,Продуктовый дизайнер,design,JetBrains,офис Лимассол,lead,~ от 425 000 ₽,https://hirehi.ru/design/produktovyi-dizainer-30630
30629,frontend разработчик,development,NDA,гибрид Москва,middle,~ от 238 500 ₽,https://hirehi.ru/development/frontend-razrabotchik-30629
30628,flutter разработчик,development,NDA,удалённо по РФ,middle,~ от 214 100 ₽,https://hirehi.ru/development/flutter-razrabotchik-30628
30627,c++ разработчик,development,NDA,удалённо по РФ,senior,~ от 362 900 ₽,https://hirehi.ru/development/c-razrabotchik-30627
30625,коммуникационный дизайнер,design,Pragmatica,удалённо,middle,~ от 131 700 ₽,https://hirehi.ru/design/kommunikatsionnyi-dizainer-30625
30624,продуктовый дизайнер,design,Т-Банк,удалённо по РФ,middle,~ от 215 800 ₽,https://hirehi.ru/design/produktovyi-dizainer-30624
30623,golang engineer,development,NDA,удалённо,senior,~ от 423 400 ₽,https://hirehi.ru/development/golang-engineer-30623
30622,fullstack java разработчик,development,Jelurida Swiss,удалённо,senior,от 470 000 ₽,https://hirehi.ru/development/fullstack-java-razrabotchik-30622
30619,Project Manager,management,LogiсLike,удалённо,middle,~ от 98 100 ₽,https://hirehi.ru/management/project-manager-30619
30618,manual qa,qa,CPTN,удалённо,junior,120 000 ₽,https://hirehi.ru/qa/manual-qa-30618
30617,iOS Developer,development,Mail,гибрид Москва,middle,~ от 244 700 ₽,https://hirehi.ru/development/ios-developer-30617
30616,automation qa,qa,SOFTSWISS,удалённо,middle,~ от 237 500 ₽,https://hirehi.ru/qa/automation-qa-30616
30615,System Analyst,analytics,NDA,офис Москва,senior,~ от 318 900 ₽,https://hirehi.ru/analytics/system-analyst-30615
30613,UX/UI дизайнер,design,DA- Digital Agency,удалённо по РФ,junior,от 65 000 ₽,https://hirehi.ru/design/ux-ui-dizainer-30613
30608,Продуктовый дизайнер,design,Yclients,гибрид Москва,senior,~ от 264 800 ₽,https://hirehi.ru/design/produktovyi-dizainer-30608
30605,manual qa,qa,atomatiq,удалённо,middle,~ от 162 900 ₽,https://hirehi.ru/qa/manual-qa-30605
30604,автоматизатор тестирования,qa,Ozon,удалённо,middle,~ от 213 200 ₽,https://hirehi.ru/qa/avtomatizator-testirovaniya-30604
30603,Продуктовый аналитик,analytics,Ozon,удалённо,middle,~ от 198 100 ₽,https://hirehi.ru/analytics/produktovyi-analitik-30603
30602,iOS разработчик,development,Ozon,удалённо,intern,~ от 61 400 ₽,https://hirehi.ru/development/ios-razrabotchik-30602
30601,swift разработчик,development,Ozon,удалённо,intern,~ от 62 100 ₽,https://hirehi.ru/development/swift-razrabotchik-30601
30599,node.js developer,development,GoMining,удалённо,senior,~ от 428 500 ₽,https://hirehi.ru/development/node-js-developer-30599
30598,Продуктовый аналитик,analytics,Яндекс Реклама,гибрид,senior,~ от 302 400 ₽,https://hirehi.ru/analytics/produktovyi-analitik-30598
30596,C++ Developer,development,Wildberries,удалённо,senior,~ от 352 800 ₽,https://hirehi.ru/development/c-developer-30596
30595,Flutter разработчик,development,Wildberries,удалённо,senior,~ от 332 500 ₽,https://hirehi.ru/development/flutter-razrabotchik-30595
30592,product owner,management,GBS,гибрид Москва,middle,~ от 234 500 ₽,https://hirehi.ru/management/product-owner-30592
30590,java разработчик,development,Новэлект,удалённо,senior,от 240 000 ₽,https://hirehi.ru/development/java-razrabotchik-30590
30588,devops/sre engineer,devops,Paysend,гибрид Белград,senior,~ от 415 800 ₽,https://hirehi.ru/devops/devops-sre-engineer-30588
30583,QA Engineer (auto),qa,ClickHouse,удалённо,senior,~ от 550 700 ₽,https://hirehi.ru/qa/qa-engineer-auto-30583
30579,automation qa,qa,NDA,удалённо по РФ,middle,208 800 ₽,https://hirehi.ru/qa/automation-qa-30579
30578,системный аналитик,analytics,КПР,гибрид Москва,middle,~ от 213 800 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-30578
30576,node.js developer,development,KVAN,удалённо,senior,от 312 000 ₽,https://hirehi.ru/development/node-js-developer-30576
30575,Business Analyst,analytics,Inktech,удалённо,lead,~ от 404 900 ₽,https://hirehi.ru/analytics/business-analyst-30575
30574,c# разработчик,development,NDA,гибрид Москва,middle,~ от 220 800 ₽,https://hirehi.ru/development/c-razrabotchik-30574
30573,ux/ui designer,design,Easybrain,удалённо,senior,~ от 350 100 ₽,https://hirehi.ru/design/ux-ui-designer-30573
30572,node.js developer,development,Veranto.tech,удалённо,senior,от 312 000 ₽,https://hirehi.ru/development/node-js-developer-30572
30571,machine learning engineer,development,NDA,удалённо,senior,520 000 ₽,https://hirehi.ru/development/machine-learning-engineer-30571
30570,qa engineer (manual),qa,Sxope,удалённо,middle,~ от 320 200 ₽,https://hirehi.ru/qa/qa-engineer-manual-30570
30569,devops engineer,devops,NDA,удалённо по РФ,middle,~ от 164 500 ₽,https://hirehi.ru/devops/devops-engineer-30569
30568,product designer,design,Marc Ellis,офис Дубай,senior,~ от 429 800 ₽,https://hirehi.ru/design/product-designer-30568
