country,role,level,min_eur,max_eur,range_eur
Belgium,Test Automation Engineer,st,42,50,8
Belgium,Test Automation Engineer,co,51,57,6
Cyprus,Applications Developer,sme,43,51,8
Cyprus,Applications Developer,st,50,57,7
Cyprus,Applications Developer,co,43,53,10
Cyprus,Automation Engineer,sme,34,42,8
Cyprus,Automation Engineer,st,44,52,8
Cyprus,Automation Engineer,co,46,51,5
Cyprus,Backend Developer,sme,41,50,9
Cyprus,Backend Developer,st,48,60,12
Cyprus,Backend Developer,co,52,66,14
Cyprus,BI Analyst,sme,38,47,9
Cyprus,BI Analyst,st,41,49,8
Cyprus,BI Analyst,co,41,49,8
Cyprus,BI Developer,sme,38,43,5
Cyprus,BI Developer,st,48,52,4
Cyprus,BI Developer,co,48,54,6
Cyprus,BI Manager,sme,44,51,7
Cyprus,BI Manager,st,50,55,5
Cyprus,BI Manager,co,62,69,7
Cyprus,Cyber Security Analyst,sme,44,52,8
Cyprus,Cyber Security Analyst,st,46,55,9
Cyprus,Cyber Security Analyst,co,47,55,8
Cyprus,Data Analyst,sme,38,46,8
Cyprus,Data Analyst,st,43,50,7
Cyprus,Data Analyst,co,44,52,8
Cyprus,Data Engineer,sme,40,52,12
Cyprus,Data Engineer,st,47,62,15
Cyprus,Data Engineer,co,56,69,13
Cyprus,Devops Engineer,sme,43,51,8
Cyprus,Devops Engineer,st,50,62,12
Cyprus,Devops Engineer,co,56,68,12
Cyprus,Frontend Developer,sme,45,52,7
Cyprus,Frontend Developer,st,50,59,9
Cyprus,Frontend Developer,co,56,65,9
Cyprus,Full Stack Developer,sme,43,56,13
Cyprus,Full Stack Developer,st,52,68,16
Cyprus,Full Stack Developer,co,50,68,18
Cyprus,Machine Learning Engineer,sme,43,56,13
Cyprus,Machine Learning Engineer,st,53,65,12
Cyprus,Machine Learning Engineer,co,57,67,10
Cyprus,Network Architect,sme,48,55,7
Cyprus,Network Architect,st,51,61,10
Cyprus,Network Architect,co,64,70,6
Cyprus,Python Developer,sme,35,40,5
Cyprus,Python Developer,st,41,50,9
Cyprus,Python Developer,co,42,53,11
Cyprus,QA Analyst,sme,40,45,5
Cyprus,QA Analyst,st,37,47,10
Cyprus,QA Analyst,co,38,46,8
Cyprus,QA Engineer,sme,38,46,8
Cyprus,QA Engineer,st,42,52,10
