id,title,category,company,level,salary,link,format,city/country
32815,C++ разработчик,development,Яндекс Транспорт,senior,322600,https://hirehi.ru/development/c-razrabotchik-32815,офис,Москва
32814,qa engineer (manual),qa,Арт-Финтех,junior,30800,https://hirehi.ru/qa/qa-engineer-manual-32814,удалённо,Не указано
32812,DevOps инженер,devops,Aston,middle,210500,https://hirehi.ru/devops/devops-inzhener-32812,удалённо,Не указано
32811,Go разработчик,development,2ГИС,senior,301100,https://hirehi.ru/development/go-razrabotchik-32811,удалённо,Не указано
32810,DevOps инженер,devops,Т1,middle,204300,https://hirehi.ru/devops/devops-inzhener-32810,удалённо,Не указано
32809,.net backend разработчик,development,NDA,middle,220900,https://hirehi.ru/development/net-backend-razrabotchik-32809,удалённо,Не указано
32808,product designer,design,Superside,lead,460500,https://hirehi.ru/design/product-designer-32808,удалённо,Не указано
32807,python разработчик,development,Midnight,senior,320000,https://hirehi.ru/development/python-razrabotchik-32807,удалённо,Не указано
32806,data engineer,development,NDA,senior,300500,https://hirehi.ru/development/data-engineer-32806,удалённо,РФ
32805,fullstack разработчик,development,NDA,middle,160000,https://hirehi.ru/development/fullstack-razrabotchik-32805,удалённо,РФ
32804,sql разработчик,development,NDA,senior,240900,https://hirehi.ru/development/sql-razrabotchik-32804,удалённо,Не указано
32803,ai engineer,development,NDA,middle,202900,https://hirehi.ru/development/ai-engineer-32803,удалённо,Не указано
32802,разработчик 1c,development,NDA,lead,280000,https://hirehi.ru/development/razrabotchik-1c-32802,гибрид,Санкт-Петербург
32801,automation qa,qa,Top Selection,senior,250000,https://hirehi.ru/qa/automation-qa-32801,удалённо,РФ
32800,project manager,management,inDrive,senior,381000,https://hirehi.ru/management/project-manager-32800,гибрид,Не указано
32799,java developer,development,Mish,middle,128000,https://hirehi.ru/development/java-developer-32799,удалённо,РФ
32798,qa engineer (auto),qa,Бета-тест,middle,120000,https://hirehi.ru/qa/qa-engineer-auto-32798,удалённо,Не указано
32797,системный аналитик,analytics,Компас,middle,120000,https://hirehi.ru/analytics/sistemnyi-analitik-32797,гибрид,Москва
32796,project manager,management,NDA,lead,313800,https://hirehi.ru/management/project-manager-32796,офис,Москва
32795,React разработчик,development,*instinctools,senior,305100,https://hirehi.ru/development/react-razrabotchik-32795,удалённо,Не указано
32794,Golang разработчик,development,*instinctools,senior,336400,https://hirehi.ru/development/golang-razrabotchik-32794,удалённо,Не указано
32793,арт-директор (фантех),design,Wildberries,lead,276800,https://hirehi.ru/design/art-direktor-fanteh-32793,гибрид,Москва
32792,арт-директор (travel),design,Wildberries,lead,246300,https://hirehi.ru/design/art-direktor-travel-32792,офис,Москва
32791,Аналитик данных,analytics,Совкомбанк,middle,178500,https://hirehi.ru/analytics/analitik-dannyh-32791,офис,Казань
32790,продакт менеджер,management,Telecom Cloud,middle,154900,https://hirehi.ru/management/prodakt-menedzher-32790,удалённо,Не указано
32789,python разработчик,development,Финансы Софт Клуб,senior,249400,https://hirehi.ru/development/python-razrabotchik-32789,офис,Бишкек
32788,java developer,development,Jana Post,senior,240000,https://hirehi.ru/development/java-developer-32788,офис,Алматы
32787,react разработчик,development,COCA,senior,305800,https://hirehi.ru/development/react-razrabotchik-32787,удалённо,Не указано
32786,product designer,design,trbo Inc.,senior,421200,https://hirehi.ru/design/product-designer-32786,гибрид,Мюнхен
